assessment,analysis,model,term,estimate,std_error,ci_95_low,ci_95_high,p_value,n_observations,n_subjects,random_intercept_variance,converged,warnings
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,Intercept,75.12918716317083,2.0976412571079575,71.0178858467539,79.24048847958775,6.217443355407255e-281,252,121,405.7330545241638,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T1],10.136906904765466,1.6553105720542831,6.892557800310676,13.381256009220255,9.132936834935271e-10,252,121,405.7330545241638,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],19.696977368607374,2.1924111959385972,15.399930385265336,23.994024351949413,2.60713414929329e-19,252,121,405.7330545241638,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,Intercept,75.12950200283018,2.0764486302939753,71.05973747170646,79.1992665339539,1.1799419356567237e-286,244,121,389.94750767454,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T1],9.82012585895135,1.7055449070221869,6.477319267172149,13.162932450730551,8.523516948908512e-09,244,121,389.94750767454,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],18.14458369903292,2.3817195209579975,13.476499216679255,22.812668181386588,2.5709698332772815e-14,244,121,389.94750767454,True,
FM-LE,exclude_baseline_boundaries,random_intercept_LMM,Intercept,59.98525991055526,1.3027859204618168,57.431846426884235,62.53867339422628,0.0,245,118,142.3684441307901,True,
FM-LE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T1],7.02979002315205,1.1310924597296106,4.812889538897192,9.246690507406909,5.131009155815984e-10,245,118,142.3684441307901,True,
FM-LE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],13.766316771867842,1.5078765541927883,10.810933032517617,16.721700511218067,6.874990918814723e-20,245,118,142.3684441307901,True,
FM-LE,exclude_boundary_observations,random_intercept_LMM,Intercept,60.08903106849165,1.2886182997664686,57.56338561113013,62.61467652585317,0.0,231,120,135.50904132273112,True,
FM-LE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T1],6.3292597741177445,1.2002205684867353,3.976870686379554,8.681648861855935,1.339091249675119e-07,231,120,135.50904132273112,True,
FM-LE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],13.510262135984794,1.7727759702115025,10.035685081712197,16.98483919025739,2.517878503446652e-14,231,120,135.50904132273112,True,
BI,exclude_baseline_boundaries,Gaussian_GEE_fallback,Intercept,15.988463426133173,0.7419661138499484,14.534236565238128,17.442690287028217,5.436225912682564e-103,249,112,,True,LMM fallback: LinAlgError('Singular matrix')
BI,exclude_baseline_boundaries,Gaussian_GEE_fallback,C(visit)[T.T1],34.70638114065626,2.981361765950724,28.86301945450811,40.54974282680442,2.546583887015119e-31,249,112,,True,LMM fallback: LinAlgError('Singular matrix')
BI,exclude_baseline_boundaries,Gaussian_GEE_fallback,C(visit)[T.T2],52.75585106709165,4.064629062859116,44.78932449337299,60.72237764081031,1.6043658246312875e-38,249,112,,True,LMM fallback: LinAlgError('Singular matrix')
BI,exclude_boundary_observations,Gaussian_GEE_fallback,Intercept,15.674641317405586,0.7636579804580734,14.17789917920117,17.171383455610002,1.2683097105911894e-93,230,117,,True,LMM fallback: LinAlgError('Singular matrix')
BI,exclude_boundary_observations,Gaussian_GEE_fallback,C(visit)[T.T1],32.80276671358669,2.8281298406617257,27.25973408228671,38.34579934488668,4.181483834671981e-31,230,117,,True,LMM fallback: LinAlgError('Singular matrix')
BI,exclude_boundary_observations,Gaussian_GEE_fallback,C(visit)[T.T2],44.93394658208086,4.371705426269981,36.36556139557337,53.50233176858834,8.821912097136176e-25,230,117,,True,LMM fallback: LinAlgError('Singular matrix')
NIHSS,exclude_baseline_boundaries,random_intercept_LMM,Intercept,9.597215508271194,0.36789605025970096,8.876152499707644,10.318278516834745,5.153054193201244e-150,254,120,9.535084127832478,True,
NIHSS,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T1],-3.019434155634371,0.3778739249711512,-3.760053439274618,-2.278814871994124,1.3429866661226766e-15,254,120,9.535084127832478,True,
NIHSS,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],-5.2000845149608095,0.48550335821471974,-6.1516536114349085,-4.24851541848671,9.066612888328616e-27,254,120,9.535084127832478,True,
NIHSS,exclude_boundary_observations,random_intercept_LMM,Intercept,9.59697733716203,0.3656431856602438,8.88032986207546,10.313624812248602,7.767180359218845e-152,242,120,9.538648790490278,True,
NIHSS,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T1],-2.9915142365286713,0.37420352502660875,-3.7249396684687572,-2.2580888045885854,1.3025842879928e-15,242,120,9.538648790490278,True,
NIHSS,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],-4.414807222472616,0.5356799657306761,-5.464720662544392,-3.3648937824008405,1.7006285044993946e-16,242,120,9.538648790490278,True,
MRS,exclude_baseline_boundaries,Gaussian_GEE_raw_mRS_fallback,Intercept,4.6109507606228455,0.04605429431700475,4.520686002428109,4.701215518817582,0.0,272,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE returned non-finite estimates') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
MRS,exclude_baseline_boundaries,Gaussian_GEE_raw_mRS_fallback,C(visit)[T.T1],-1.0034629664905248,0.10211451554560226,-1.2036037392586607,-0.8033221937223889,8.628406206784359e-23,272,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE returned non-finite estimates') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
MRS,exclude_baseline_boundaries,Gaussian_GEE_raw_mRS_fallback,C(visit)[T.T2],-1.7276750323614267,0.14008407287054578,-2.002234769995381,-1.4531152947274726,6.006755070963097e-35,272,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE returned non-finite estimates') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
MRS,exclude_boundary_observations,Gaussian_GEE_raw_mRS_fallback,Intercept,4.611020472012817,0.04605549612301105,4.520753358321591,4.701287585704043,0.0,271,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE did not converge') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
MRS,exclude_boundary_observations,Gaussian_GEE_raw_mRS_fallback,C(visit)[T.T1],-1.0045623359326923,0.10228004532044595,-1.2050275410978908,-0.8040971307674938,9.081318248397151e-23,271,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE did not converge') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
MRS,exclude_boundary_observations,Gaussian_GEE_raw_mRS_fallback,C(visit)[T.T2],-1.6960865570312604,0.13764946907050923,-1.9658745589005187,-1.4262985551620022,6.915038344767798e-35,271,120,,True,Ordinal GEE fallback: RuntimeError('Ordinal GEE did not converge') | Binary GEE fallback: RuntimeError('At least one visit has complete binary-outcome separation')
