assessment,analysis,model,term,estimate,std_error,ci_95_low,ci_95_high,p_value,n_observations,n_subjects,random_intercept_variance,converged,warnings
FM-UE,raw_trajectory,random_intercept_LMM,Intercept,75.12918716317083,2.0976412571079575,71.0178858467539,79.24048847958775,6.217443355407255e-281,252,121,405.7330545241638,True,
FM-UE,raw_trajectory,random_intercept_LMM,C(visit)[T.T1],10.136906904765466,1.6553105720542831,6.892557800310676,13.381256009220255,9.132936834935271e-10,252,121,405.7330545241638,True,
FM-UE,raw_trajectory,random_intercept_LMM,C(visit)[T.T2],19.696977368607374,2.1924111959385972,15.399930385265336,23.994024351949413,2.60713414929329e-19,252,121,405.7330545241638,True,
FM-UE,baseline_moderation,random_intercept_LMM,Intercept,84.6640098693599,1.7002619279647098,81.33155772626444,87.99646201245537,0.0,131,94,176.23631038137046,True,
FM-UE,baseline_moderation,random_intercept_LMM,C(visit)[T.T2],9.496697440581828,2.0482969372331,5.482109213961252,13.511285667202404,3.545517528134852e-06,131,94,176.23631038137046,True,
FM-UE,baseline_moderation,random_intercept_LMM,baseline_deficit_z,-18.723076929822778,1.7166539486719803,-22.08765684313833,-15.358497016507226,1.0704045602422211e-27,131,94,176.23631038137046,True,
FM-UE,baseline_moderation,random_intercept_LMM,C(visit)[T.T2]:baseline_deficit_z,1.1579924546294438,2.0604561890331756,-2.880427467598234,5.196412376857121,0.5741107031744406,131,94,176.23631038137046,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,Intercept,75.12918716317083,2.0976412571079575,71.0178858467539,79.24048847958775,6.217443355407255e-281,252,121,405.7330545241638,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T1],10.136906904765466,1.6553105720542831,6.892557800310676,13.381256009220255,9.132936834935271e-10,252,121,405.7330545241638,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],19.696977368607374,2.1924111959385972,15.399930385265336,23.994024351949413,2.60713414929329e-19,252,121,405.7330545241638,True,
