assessment_1,assessment_2,n_pairs,spearman_rho,ci_95_low,ci_95_high,p_value,p_value_fdr_bh
FM-UE,FM-LE,37,0.49510938005075167,0.19763526830604028,0.7228313332262111,0.0018364786759683188,0.00874927214704473
FM-UE,BI,36,0.4864943065419055,0.14551285230903305,0.745310800808075,0.002624781644113419,0.00874927214704473
FM-UE,NIHSS,37,0.32085450909083923,-0.029552361399618973,0.6173502986491637,0.05283911192295945,0.06604888990369931
FM-UE,MRS,37,0.43237108849442885,0.10963811392700762,0.6818838782862695,0.007527722220542695,0.012546203700904491
FM-LE,BI,36,0.47059648289610756,0.21606846032616947,0.6773622011536354,0.0037733120429992357,0.009411061774549968
FM-LE,NIHSS,37,0.15843822225084614,-0.17132674619553942,0.5072423395542619,0.3489651916480633,0.3489651916480633
FM-LE,MRS,37,0.2763398120407454,-0.1059266326113066,0.5907931275239772,0.09779600679870179,0.10866222977633531
BI,NIHSS,39,0.443311279164076,0.08649429441433983,0.7446939889855835,0.004705530887274984,0.009411061774549968
BI,MRS,50,0.7793642222099271,0.5876063272843877,0.8903768660408249,2.6088304188365227e-11,2.6088304188365226e-10
NIHSS,MRS,41,0.37950740261509275,0.017293140847926516,0.6843910113156407,0.01439663438627952,0.02056662055182789
