assessment,visit,n_observations,standardized_mean,standardized_sd,median,q1,q3,minimum,maximum,n_subjects
BI,T0,119,-3.909687699638485e-17,0.9999999999999999,0.009731357851217154,-0.5692844342962056,1.1677629421460625,-1.7273160185910508,2.9048103185883303,119
BI,T1,88,3.865450155560191,3.5853289625991467,3.483826110735753,0.5887471499986399,6.523659019509722,-1.7273160185910508,9.852999824357402,88
BI,T2,58,6.452779500126158,3.867475005104415,8.115952447915134,3.483826110735753,9.852999824357402,-1.7273160185910508,9.852999824357402,58
FM-LE,T0,119,-1.5393848660768977e-16,1.0,0.040762480770424186,-0.7082481033861229,0.6827715529046074,-2.4559394664180663,1.8241210144764888,119
FM-LE,T1,87,0.4089132769239979,1.1184055768571124,0.5401028702081222,-0.31590922597078874,1.3247806250387906,-2.4559394664180663,1.8241210144764888,87
FM-LE,T2,44,1.188596882464873,0.8724191075209645,1.4674493077352757,1.199945527679366,1.8241210144764888,-1.813930394283883,1.8241210144764888,44
FM-UE,T0,120,-2.1186756053263405e-16,1.0000000000000002,-0.4871715466931902,-0.6951341041748681,0.82992465069077,-3.3755404006053835,2.216341700568623,120
FM-UE,T1,88,0.4308045908774487,1.120346728400812,0.5064273390526044,-0.5102784975244877,1.3151706181480185,-2.081551154052721,2.3549834055564083,88
FM-UE,T2,44,1.1303150114976381,1.1148731369029066,1.1303150114976381,0.46021343739000925,2.0776999955808377,-1.61941213742677,2.3549834055564083,44
MRS,T0,120,7.401486830834377e-18,1.0000000000000002,-0.7217439967794396,-0.7217439967794396,1.202906661299066,-2.646394654857945,3.1275573193775714,120
MRS,T1,88,1.9246506580785054,2.130697558853123,1.202906661299066,-0.7217439967794396,3.1275573193775714,-0.7217439967794396,6.976858635534582,88
MRS,T2,65,3.601317481366127,2.477655306055316,3.1275573193775714,1.202906661299066,5.052207977456077,-0.7217439967794396,8.901509293613087,65
NIHSS,T0,120,-3.39543208364527e-16,1.0,0.12680187746744673,-0.5977802794893936,0.609856648772007,-3.496108907316755,2.300548348337968,120
NIHSS,T1,88,0.6482814601257788,0.9818652161265284,0.8513840344242871,0.06642003105437669,1.3344388057288472,-2.2884719790553545,2.300548348337968,88
NIHSS,T2,48,1.490425242295945,0.9525108935567345,1.8174935770334075,1.0929114200765673,2.119402809098758,-2.0469445934030746,2.300548348337968,48
