pairing,species,outcome,stage,timepoint,n,mean,sd,sem,ci_95_low,ci_95_high
FM-UE / Paw drag,Human,FM-UE,Acute,T0,120,-2.590520390792032e-16,1.0,0.09128709291752768,-0.1789227021183545,0.178922702118354
FM-UE / Paw drag,Human,FM-UE,Early,T1,87,0.4230298383511397,1.1244512892673633,0.12055383220380593,0.1867443272316801,0.6593153494705993
FM-UE / Paw drag,Human,FM-UE,Late,T2,44,1.1303150114976381,1.1148731369029063,0.1680734492706122,0.8008910509272382,1.459738972068038
FM-UE / Paw drag,Mouse,Paw drag (%),Acute,Day 3,90,1.4001145921661696e-16,1.0,0.10540925533894598,-0.20660214046433398,0.20660214046433426
FM-UE / Paw drag,Mouse,Paw drag (%),Early,Day 14,74,0.5642655062492341,0.6943612168355072,0.08071785189241282,0.406058516540105,0.7224724959583633
FM-UE / Paw drag,Mouse,Paw drag (%),Late,Day 56,30,1.1371855025142878,0.6756383160581508,0.1233541154732847,0.8954114361866499,1.3789595688419258
FM-UE / Grid walk,Human,FM-UE,Acute,T0,120,-2.590520390792032e-16,1.0,0.09128709291752768,-0.1789227021183545,0.178922702118354
FM-UE / Grid walk,Human,FM-UE,Early,T1,87,0.4230298383511397,1.1244512892673633,0.12055383220380593,0.1867443272316801,0.6593153494705993
FM-UE / Grid walk,Human,FM-UE,Late,T2,44,1.1303150114976381,1.1148731369029063,0.1680734492706122,0.8008910509272382,1.459738972068038
FM-UE / Grid walk,Mouse,Grid-walk foot faults,Acute,Day 3,106,1.9271795899153661e-16,1.0,0.09712858623572641,-0.19037202902202358,0.19037202902202396
FM-UE / Grid walk,Mouse,Grid-walk foot faults,Early,Day 14,78,0.46615571817415674,0.6417183270043383,0.07266029240567039,0.3237415450590428,0.6085698912892707
FM-UE / Grid walk,Mouse,Grid-walk foot faults,Late,Day 56,40,1.2085994782087488,0.435940495049644,0.06892824443291165,1.073500119120242,1.3436988372972556
FM-LE / Hindlimb drop,Human,FM-LE,Acute,T0,119,-1.408770392591585e-16,1.0,0.09166984970282113,-0.17967290541752956,0.17967290541752928
FM-LE / Hindlimb drop,Human,FM-LE,Early,T1,87,0.40891327692399776,1.1184055768571122,0.11990566379810046,0.17389817587972087,0.6439283779682746
FM-LE / Hindlimb drop,Human,FM-LE,Late,T2,44,1.188596882464873,0.8724191075209645,0.13152212907198926,0.930813509483774,1.446380255445972
FM-LE / Hindlimb drop,Mouse,Hindlimb drops,Acute,Day 3,94,1.8779304352702115e-16,0.9999999999999998,0.10314212462587931,-0.20215856426672324,0.20215856426672363
FM-LE / Hindlimb drop,Mouse,Hindlimb drops,Early,Day 14,83,0.9088170760941249,0.415801042059461,0.04564009368459885,0.8193624924723111,0.9982716597159387
FM-LE / Hindlimb drop,Mouse,Hindlimb drops,Late,Day 56,38,1.217954871725879,0.1784276910327075,0.02894479360840643,1.1612230762534024,1.2746866671983557
