assessment,analysis,model,term,estimate,std_error,ci_95_low,ci_95_high,p_value,n_observations,n_subjects,random_intercept_variance,converged,warnings
FM-UE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,Intercept,84.6640098693599,1.7002619279647098,81.33155772626444,87.99646201245537,0.0,131,94,176.23631038137046,True,
FM-UE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],9.496697440581828,2.0482969372331,5.482109213961252,13.511285667202404,3.545517528134852e-06,131,94,176.23631038137046,True,
FM-UE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,baseline_deficit_z,-18.723076929822778,1.7166539486719803,-22.08765684313833,-15.358497016507226,1.0704045602422211e-27,131,94,176.23631038137046,True,
FM-UE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2]:baseline_deficit_z,1.1579924546294438,2.0604561890331756,-2.880427467598234,5.196412376857121,0.5741107031744406,131,94,176.23631038137046,True,
FM-UE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,Intercept,83.84145185458019,1.7299774466027529,80.45075836517222,87.23214534398815,0.0,123,92,170.64248442998576,True,
FM-UE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],8.76259718915833,2.2447939432941793,4.36288190758809,13.162312470728569,9.480386303880642e-05,123,92,170.64248442998576,True,
FM-UE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,baseline_deficit_z,-18.08781648186392,1.7602676893294273,-21.53787775609914,-14.637755207628704,9.077256136351768e-25,123,92,170.64248442998576,True,
FM-UE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2]:baseline_deficit_z,1.994029579613727,2.294537642947527,-2.503181561734851,6.491240720962305,0.3848289267090643,123,92,170.64248442998576,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,Intercept,75.04166666666683,2.107176309405773,70.91167699115549,79.17165634217817,8.996484860780063e-278,251,120,407.9099081106382,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T1],10.09374823526405,1.6576877041550704,6.844740037505224,13.342756433022876,1.1358053989602247e-09,251,120,407.9099081106382,True,
FM-UE,exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],19.69028475233596,2.1932045346573745,15.391682853677576,23.988886650994342,2.7608237740358056e-19,251,120,407.9099081106382,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,Intercept,75.04166666666666,2.085456965096826,70.95424612376867,79.12908720956464,1.5254375539740542e-283,243,120,391.9446422212679,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T1],9.772266622997847,1.708426773132964,6.423811677433256,13.120721568562438,1.0650002622158286e-08,243,120,391.9446422212679,True,
FM-UE,exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],18.13955197505831,2.3827303381844085,13.469486327345926,22.809617622770695,2.6795728043759587e-14,243,120,391.9446422212679,True,
FM-LE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,Intercept,65.94884727645518,1.13120943417686,63.7317175264966,68.16597702641376,0.0,127,91,82.38164600737214,True,
FM-LE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2],7.290754627036393,1.3084808655466151,4.7261792561052305,9.855329997967555,2.519427804792615e-08,127,91,82.38164600737214,True,
FM-LE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,baseline_deficit_z,-11.343553017713614,1.1417375106729373,-13.581317418430986,-9.105788616996241,2.9217065553634074e-23,127,91,82.38164600737214,True,
FM-LE,baseline_moderation_exclude_baseline_boundaries,random_intercept_LMM,C(visit)[T.T2]:baseline_deficit_z,2.5841992393642212,1.3924050416867382,-0.144864494233778,5.313262972962221,0.06346425798613514,127,91,82.38164600737214,True,
FM-LE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,Intercept,64.6633296763445,1.1868531601750514,62.337140227463856,66.98951912522516,0.0,111,86,81.7115100909522,True,
FM-LE,baseline_moderation_exclude_boundary_observations,random_intercept_LMM,C(visit)[T.T2],7.7064237339065444,1.5419351093266827,4.684286453128416,10.728561014684672,5.796070520045878e-07,111,86,81.7115100909522,True,
