assessment,visit,n,n_invalid,floor,ceiling,n_at_floor,pct_at_floor,n_at_ceiling,pct_at_ceiling,n_near_floor_10pct_range,n_near_ceiling_10pct_range,median,q1,q3,minimum,maximum,n_distinct
BI,T0,119,0,0.0,100.0,8,6.722689075630252,0,0.0,53,0,15.0,10.0,25.0,0.0,40.0,8
BI,T1,87,0,0.0,100.0,3,3.4482758620689653,3,3.4482758620689653,15,15,45.0,20.0,72.5,0.0,100.0,21
BI,T2,58,0,0.0,100.0,3,5.172413793103448,18,31.03448275862069,4,26,85.0,45.0,100.0,0.0,100.0,18
FM-LE,T0,119,1,0.0,86.0,0,0.0,2,1.680672268907563,0,16,61.0,50.5,70.0,26.0,86.0,46
FM-LE,T1,87,0,0.0,86.0,0,0.0,5,5.747126436781609,0,27,68.0,56.0,79.0,26.0,86.0,40
FM-LE,T2,44,0,0.0,86.0,0,0.0,12,27.272727272727273,0,33,81.0,77.25,86.0,35.0,86.0,18
FM-UE,T0,120,0,0.0,126.0,0,0.0,0,0.0,1,4,64.5,60.0,93.0,2.0,123.0,52
FM-UE,T1,87,0,0.0,126.0,0,0.0,2,2.2988505747126435,0,11,86.0,64.0,104.0,30.0,126.0,47
FM-UE,T2,44,0,0.0,126.0,0,0.0,6,13.636363636363637,0,19,99.5,85.0,120.0,40.0,126.0,29
MRS,T0,120,0,0.0,6.0,0,0.0,1,0.8333333333333334,0,1,5.0,4.0,5.0,3.0,6.0,4
MRS,T1,87,0,0.0,6.0,0,0.0,0,0.0,0,0,4.0,3.0,5.0,1.0,5.0,5
MRS,T2,65,0,0.0,6.0,1,1.5384615384615385,0,0.0,1,0,3.0,2.0,4.0,0.0,5.0,6
NIHSS,T0,120,0,0.0,42.0,1,0.8333333333333334,0,0.0,11,0,9.0,7.0,12.0,0.0,24.0,19
NIHSS,T1,87,0,0.0,42.0,1,1.1494252873563218,0,0.0,27,0,6.0,4.0,9.5,0.0,19.0,18
NIHSS,T2,48,0,0.0,42.0,12,25.0,0,0.0,34,0,2.0,0.75,5.0,0.0,18.0,11
