assessment,visit,n_pairs,mean_oriented_change,sd_oriented_change,standardized_response_mean
BI,T1,87,34.367816091954026,26.999188162871796,1.272920351702103
BI,T2,58,53.224137931034484,31.56060341375447,1.6864106567695978
FM-LE,T1,86,7.441860465116279,11.479500553967329,0.6482738887576746
FM-LE,T2,44,12.477272727272727,11.560736752018508,1.0792800662201907
FM-UE,T1,87,10.505747126436782,15.71761977010632,0.668405730644909
FM-UE,T2,44,18.636363636363637,18.52602306636238,1.0059559771466333
MRS,T1,87,1.0114942528735633,0.9704260976566417,1.0423197143152805
MRS,T2,65,1.7230769230769232,1.1793495599759152,1.4610400355871689
NIHSS,T1,87,3.2873563218390807,3.1174976771294065,1.0544855721804676
NIHSS,T2,48,4.75,4.545280460883037,1.045040023575837
