outcome,group,day,eligible_group_n,outcome_available_n,outcome_missing_n,invalid_value_n,analyzed_n
C_PawDragPercent,Sham,0,30,26,4,0,26
C_PawDragPercent,Sham,3,30,23,7,0,23
C_PawDragPercent,Sham,7,30,23,7,0,23
C_PawDragPercent,Sham,14,30,19,11,0,19
C_PawDragPercent,Sham,21,30,15,15,0,15
C_PawDragPercent,Sham,28,30,17,13,0,17
C_PawDragPercent,Sham,42,30,3,27,0,3
C_PawDragPercent,Sham,56,30,1,29,0,1
C_PawDragPercent,Stroke,0,111,97,14,0,97
C_PawDragPercent,Stroke,3,111,90,21,0,90
C_PawDragPercent,Stroke,7,111,86,25,0,86
C_PawDragPercent,Stroke,14,111,74,37,0,74
C_PawDragPercent,Stroke,21,111,43,68,0,43
C_PawDragPercent,Stroke,28,111,64,47,0,64
C_PawDragPercent,Stroke,42,111,34,77,0,34
C_PawDragPercent,Stroke,56,111,30,81,0,30
GW_FootFault,Sham,0,30,29,1,0,29
GW_FootFault,Sham,3,30,28,2,0,28
GW_FootFault,Sham,7,30,24,6,0,24
GW_FootFault,Sham,14,30,22,8,0,22
GW_FootFault,Sham,21,30,18,12,0,18
GW_FootFault,Sham,28,30,20,10,0,20
GW_FootFault,Sham,42,30,3,27,0,3
GW_FootFault,Sham,56,30,3,27,0,3
GW_FootFault,Stroke,0,111,97,14,0,97
GW_FootFault,Stroke,3,111,106,5,0,106
GW_FootFault,Stroke,7,111,100,11,0,100
GW_FootFault,Stroke,14,111,78,33,0,78
GW_FootFault,Stroke,21,111,59,52,0,59
GW_FootFault,Stroke,28,111,87,24,0,87
GW_FootFault,Stroke,42,111,39,72,0,39
GW_FootFault,Stroke,56,111,40,71,0,40
RB_HindlimbDrop,Sham,0,30,29,1,0,29
RB_HindlimbDrop,Sham,3,30,26,4,0,26
RB_HindlimbDrop,Sham,7,30,22,8,0,22
RB_HindlimbDrop,Sham,14,30,20,10,0,20
RB_HindlimbDrop,Sham,21,30,18,12,0,18
RB_HindlimbDrop,Sham,28,30,15,15,0,15
RB_HindlimbDrop,Sham,42,30,3,27,0,3
RB_HindlimbDrop,Sham,56,30,3,27,0,3
RB_HindlimbDrop,Stroke,0,111,99,12,0,99
RB_HindlimbDrop,Stroke,3,111,94,17,0,94
RB_HindlimbDrop,Stroke,7,111,91,20,0,91
RB_HindlimbDrop,Stroke,14,111,83,28,0,83
RB_HindlimbDrop,Stroke,21,111,57,54,0,57
RB_HindlimbDrop,Stroke,28,111,71,40,0,71
RB_HindlimbDrop,Stroke,42,111,36,75,0,36
RB_HindlimbDrop,Stroke,56,111,38,73,0,38
