outcome,day,n_observations,n_subjects
C_PawDragPercent,0,123,123
C_PawDragPercent,3,113,113
C_PawDragPercent,7,109,109
C_PawDragPercent,14,93,93
C_PawDragPercent,21,58,58
C_PawDragPercent,28,81,81
C_PawDragPercent,42,37,37
C_PawDragPercent,56,31,31
GW_FootFault,0,126,126
GW_FootFault,3,134,134
GW_FootFault,7,124,124
GW_FootFault,14,100,100
GW_FootFault,21,77,77
GW_FootFault,28,107,107
GW_FootFault,42,42,42
GW_FootFault,56,43,43
RB_HindlimbDrop,0,128,128
RB_HindlimbDrop,3,120,120
RB_HindlimbDrop,7,113,113
RB_HindlimbDrop,14,103,103
RB_HindlimbDrop,21,75,75
RB_HindlimbDrop,28,86,86
RB_HindlimbDrop,42,39,39
RB_HindlimbDrop,56,41,41
