outcome,day,n,n_invalid,floor,ceiling,n_at_floor,pct_at_floor,n_at_ceiling,pct_at_ceiling,n_near_floor_10pct_range,n_near_ceiling_10pct_range,median,q1,q3,minimum,maximum,n_distinct
C_PawDragPercent,0,123,0,0.0,100.0,53,43.08943089430894,0,0.0,113,0,5.0,0.0,6.458333333500001,0.0,20.0,21
C_PawDragPercent,3,113,0,0.0,100.0,15,13.274336283185841,0,0.0,25,0,28.57142857,13.33333333,40.0,0.0,75.0,52
C_PawDragPercent,7,109,0,0.0,100.0,15,13.761467889908257,0,0.0,30,0,23.07692308,10.0,31.57894737,0.0,58.33333333,47
C_PawDragPercent,14,93,0,0.0,100.0,17,18.27956989247312,0,0.0,24,0,20.0,10.0,27.27272727,0.0,50.0,38
C_PawDragPercent,21,58,0,0.0,100.0,18,31.03448275862069,0,0.0,24,0,14.28571429,0.0,22.0238095225,0.0,41.66666667,26
C_PawDragPercent,28,81,0,0.0,100.0,18,22.22222222222222,0,0.0,37,0,12.5,5.0,20.0,0.0,35.71428571,30
C_PawDragPercent,42,37,0,0.0,100.0,6,16.216216216216218,0,0.0,11,0,12.5,8.333333333,16.66666667,0.0,33.33333333,23
C_PawDragPercent,56,31,0,0.0,100.0,12,38.70967741935484,0,0.0,17,0,10.0,0.0,19.09090909,0.0,40.0,15
GW_FootFault,0,126,0,0.0,100.0,2,1.5873015873015872,0,0.0,126,0,2.5,1.891284816,3.48584428725,0.0,6.666666667,70
GW_FootFault,3,134,0,0.0,100.0,2,1.492537313432836,0,0.0,56,0,12.843406595000001,5.0,18.33333333,0.0,41.02564103,104
GW_FootFault,7,124,0,0.0,100.0,1,0.8064516129032258,0,0.0,58,0,11.26984127,5.0,16.66666667,0.0,32.5,96
GW_FootFault,14,100,0,0.0,100.0,0,0.0,0,0.0,55,0,9.234496124,5.333333333,13.46153846,1.360544218,25.68807339,81
GW_FootFault,21,77,0,0.0,100.0,0,0.0,0,0.0,47,0,9.375,5.0,13.33333333,1.818181818,20.87912088,62
GW_FootFault,28,107,0,0.0,100.0,2,1.8691588785046729,0,0.0,72,0,7.142857143,3.889799521,11.515151515,0.0,23.33333333,79
GW_FootFault,42,42,0,0.0,100.0,0,0.0,0,0.0,33,0,4.96001221,3.3928571425,9.554093567083333,1.063829787,19.16666667,39
GW_FootFault,56,43,0,0.0,100.0,0,0.0,0,0.0,39,0,5.0,3.0165289255,8.333333333,1.666666667,15.12605042,24
RB_HindlimbDrop,0,128,0,0.0,,68,53.125,0,0.0,0,0,0.0,0.0,0.5,0.0,1.25,9
RB_HindlimbDrop,3,120,0,0.0,,16,13.333333333333334,0,0.0,0,0,1.0,0.5,2.25,0.0,5.33,38
RB_HindlimbDrop,7,113,0,0.0,,16,14.15929203539823,0,0.0,0,0,0.75,0.25,1.25,0.0,3.25,25
RB_HindlimbDrop,14,103,0,0.0,,27,26.21359223300971,0,0.0,0,0,0.5,0.0,0.75,0.0,2.0,11
RB_HindlimbDrop,21,75,0,0.0,,23,30.666666666666668,0,0.0,0,0,0.5,0.0,0.67,0.0,2.0,12
RB_HindlimbDrop,28,86,0,0.0,,35,40.69767441860465,0,0.0,0,0,0.25,0.0,0.5,0.0,1.5,11
RB_HindlimbDrop,42,39,0,0.0,,12,30.76923076923077,0,0.0,0,0,0.125,0.0,0.29000000000000004,0.0,1.0,11
RB_HindlimbDrop,56,41,0,0.0,,24,58.53658536585366,0,0.0,0,0,0.0,0.0,0.25,0.0,0.67,6
