animal_id,day,group,stroke_type,study_group,Strain,outcome,value,floor,ceiling,valid_value,at_floor,at_ceiling
GV_T3_10_1,0,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,16.66666667,0.0,100.0,True,False,False
GV_T3_10_1,3,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,16.66666667,0.0,100.0,True,False,False
GV_T3_10_1,7,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,0.0,0.0,100.0,True,True,False
GV_T3_10_1,14,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,11.11111111,0.0,100.0,True,False,False
GV_T3_10_1,28,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,0.0,0.0,100.0,True,True,False
GV_T3_10_2,0,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,16.66666667,0.0,100.0,True,False,False
GV_T3_10_2,3,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,33.33333333,0.0,100.0,True,False,False
GV_T3_10_2,14,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,20.0,0.0,100.0,True,False,False
GV_T3_10_2,21,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,33.33333333,0.0,100.0,True,False,False
GV_T3_10_2,28,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,20.0,0.0,100.0,True,False,False
GV_T3_10_4,0,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,5.0,0.0,100.0,True,False,False
GV_T3_10_4,3,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,0.0,0.0,100.0,True,True,False
GV_T3_10_4,28,Stroke,MOp/MOs (large),GV-1 ,C57BL/6J,C_PawDragPercent,16.66666667,0.0,100.0,True,False,False
GV_T3_11_2,0,Sham,MOp/MOs Sham,GV-1 ,C57BL/6J,C_PawDragPercent,10.0,0.0,100.0,True,False,False
GV_T3_11_2,3,Sham,MOp/MOs Sham,GV-1 ,C57BL/6J,C_PawDragPercent,0.0,0.0,100.0,True,True,False
GV_T3_11_2,28,Sham,MOp/MOs Sham,GV-1 ,C57BL/6J,C_PawDragPercent,0.0,0.0,100.0,True,True,False
